shortcode,emoji
rollar_skate,🛼
sled,🛷
ice_skate,⛸
curling,🥌
curling_stone,🥌
ski,🎿
ski_2,⛷
snowboard,🏂
paracute,🪂
womman_weightlifting,🏋️
person_weightlifting,🏋️
weightlifting,🏋️
man_weightlifting,🏋️‍♂️
women_wrestleing,🤼‍♀️
people_wrestleing,🤼
wrestleing,🤼
men_wrestling,🤼‍♂️
womman_cartwheel,🤸‍♀️
person_cartwheel,🤸
cartwheel,🤸
man_cartwheel,🤸‍♂️
womman_basketball,⛹️‍♀️
womman_dribble,⛹️‍♀️
person_basketball,⛹️
basketball,⛹️
person_dribble,⛹️
dribble,⛹️
man_basketball,⛹️‍♂️
man_dribble,⛹️‍♂️
fencing,🤺
womman_handball,🤾‍♀️
person_handball,🤾
handball,🤾
man_handball,🤾‍♂️
womman_golf,🏌️‍♀️
person_golf,🏌️
man_golf,🏌️‍♂️
horse_riding,🏇
womman_meditate,🧘‍♀️
person_meditate,🧘
meditate,🧘
man_meditate,🧘‍♂️
womman_surf,🏄‍♀️
person_surf,🏄
surf,🏄
man_surf,🏄‍♂️
womman_swim,🏊‍♀️
person_swim,🏊
swim,🏊
man_swim,🏊‍♂️
womman_water_polo,🤽‍♀️
person_water_polo,🤽
water_polo,🤽
man_water_polo,🤽‍♂️
womman_row,🚣‍♀️
person_row,🚣
row,🚣
man_row,🚣‍♂️
womman_climb,🧗‍♀️
person_climb,🧗
climb,🧗
man_climb,🧗‍♂️
womman_mountian_bike,🚵‍♀️
person_mountian_bike,🚵
mountian_bike,🚵
man_mountian_bike,🚵‍♂️
womman_biking,🚴‍♀️
person_biking,🚴
biking,🚴
man_biking,🚴‍♂️
trophy,🏆
medal_first,🥇
medal_gold,🥇
medal_seccond,🥈
medal_silver,🥈
medal_third,🥉
medal_bronze,🥉
medal_star,🏅
military_medal,🎖
rosette,🏵
reminder_ribbon,🎗
ticket,🎫
tickets,🎟
circus_tent,🎪
person_juggling,🤹
juggling,🤹
man_juggling,🤹‍♂️
womman_juggling,🤹‍♀️
drama,🎭
theature,🎭
theature_masks,🎭
ballet,🩰
ballet_shoes,🩰
art,🎨
pellete,🎨
clapperboard,🎬
mic,🎤
microphone,🎤
headphones,🎧
trebbleclef,🎼
music,🎼
sheet_music,🎼
piano,🎹
keyboard,🎹
drum_with_drumsticks,🥁
drum,🪘
saxaphone,🎷
trumpet,🎺
accordian,🪗
electric_guitar,🎸
guitar,🎸
banjo,🪕
violin,🎻
dice,🎲
pawn,♟
target,🎯
bowling,🎳
controller,🎮
video_games,🎮
slot_machine,🎰
puzzle_piece,🧩
car,🚗
taxi,🚕
car_2,🚙
bus,🚌
streetcar,🚎
racecar,🏎
police_car,🚓
ambulance,🚑
firetruck,🚒
minivan,🚐
pickup_truck,🛻
cargo_truck,🚚
cargo_truck_2,🚛
tractor,🚜
probing_cane🦯
wheelchair,🦽
manual_wheelchair,🦽
motor_chair,🦼
auto_wheelchair,🦼
scooter,🛴
bike,🚲
electric_scooter,🛵
un_421,🏍
auto_rickshaw,🛺
siren,🚨
red_light,🚨
police_car_facing,🚔
bus_facing,🚍
car_facing,🚘
taxi_facing,🚖
wheel,🛞
gondula_small,🚡
gondula,🚠
